Location_Name,County,Operator,Type,Address,City,State_province,Zip,Country_ISO3166_alpha2,Latitude,Longitude,School,IPEDS_ID,Languages,Devices_available,Accessibility,Clients,Public,Programslist
,,,,,Ferndale,Washington,98248,US,34.74563,-79.478567, St. Andrews University,199698,,,,,,"Biology/Biological Sciences (General), Biomedical Sciences (General), Business Administration and Management (General), Business Administration/Management and Operations (Other), Business/Commerce (General), Communication (General), Educational/Instructional/Curriculum Supervision, Elementary Education and Teaching, Junior High/Intermediate/Middle School Education and Teaching, Special Education and Teaching (General), Multi/Interdisciplinary Studies (General), Sport and Fitness Administration/Management, Sports/Kinesiology/Physical Education/Fitness (General), Forensic Chemistry, Forensic Psychology, Psychology (General), Game and Interactive Media Design, Visual and Performing Arts (General)"
,,,,,Seattle,Washington,98104,US,35.981858,-78.513755, Southeastern Baptist Theological Seminary,199759,,,,,,"Organizational Leadership, English Language and Literature (General), Ancient Near Eastern and Biblical Languages/Literatures/Linguistics, Clinical Pastoral Counseling/Patient Counseling, History (General), General Studies, Intercultural/Multicultural and Diversity Studies, Philosophy/Politics/Economics, Christian Studies, Ethics, Philosophy and Religious Studies (General), Bible/Biblical Studies, Divinity/Ministry, Missions/Missionary Studies, Pastoral Counseling and Specialized Ministries (Other), Religious Education, Theology/Theological Studies, Women's Ministry, Worship Ministry, Youth Ministry"
,,,,,Sequim,Washington,98382-3148,US,36.133609,-80.277446, Wake Forest University,199847,,,,,,"AfricanAmerican/Black Studies, French Studies, Women's Studies, Biochemistry and Molecular Biology, Biology/Biological Sciences (General), Biomedical Sciences (General), Biophysics, Microbiology and Immunology, Molecular Medicine, Neuroscience, Oncology and Cancer Biology, Physiology (General), Accounting, Business Administration and Management (General), Business/Commerce (General), Finance (General), Management Science, Management Sciences and Quantitative Methods (Other), Research and Development Management, Communication (General), Computer Science, Counselor Education/School Counseling and Guidance Services, Education (General), Elementary Education and Teaching, Secondary Education and Teaching, Student Counseling and Personnel Services (Other), Bioengineering and Biomedical Engineering, Engineering (General), English Language and Literature (General), Chinese Language and Literature, Classics and Classical Languages/Literatures/Linguistics (General), German Language and Literature, Japanese Language and Literature, Language Interpretation and Translation, Spanish Language and Literature, Bioethics/Medical Ethics, Medicine, Nurse Anesthetist, Nursing Practice, Physician Assistant, Public Health (General), Substance Abuse/Addiction Counseling, History (General), Advanced Legal Research/Studies (General), Law, Programs for Foreign Lawyers, General Studies, Liberal Arts and Sciences/Liberal Studies, Mathematical Statistics and Probability, Mathematics (General), Sustainability Studies, Environmental Science, Environmental/Natural Resources Management and Policy (General), Exercise Science and Kinesiology, Philosophy, Religion/Religious Studies, Chemistry (General), Physics (General), Psychology (General), Anthropology (General), Econometrics and Quantitative Economics, Economics (General), Political Science and Government (General), Sociology (General), Divinity/Ministry, Art History/Criticism and Conservation, Documentary Production, Drama and Dramatics/Theatre Arts (General), Fine/Studio Arts (General), Music Performance (General)"
,,,,,Amanda Park,Washington,98526-0089,US,35.610328,-82.442619, Warren Wilson College,199865,,,,,,"Biochemistry, Biology/Biological Sciences (General), Conservation Biology, Business Administration and Management (General), Creative Writing, English Language and Literature (General), History (General), International/Globalization Studies, Mathematics and Computer Science, Multi/Interdisciplinary Studies (General), Environmental Studies, Outdoor Education, Philosophy, Chemistry (General), Psychology (General), Human Services (General), Social Work, Sociology (General), Art/Art Studies (General), Music (General), Visual and Performing Arts (General)"
,,,,,Seattle,Washington,98122,US,34.986064,-80.44305, Wingate University,199962,,,,,,"Biology/Biological Sciences (General), Environmental Biology, Accounting, Business Administration and Management (General), Finance (General), Marketing/Marketing Management (General), Journalism, Organizational Communication (General), Public Relations/Advertising/Applied Communication, Speech Communication and Rhetoric, Sports Communication, Education (General), Educational Leadership and Administration (General), Elementary Education and Teaching, English/Language Arts Teacher Education, Higher Education/Higher Education Administration, History Teacher Education, Junior High/Intermediate/Middle School Education and Teaching, Mathematics Teacher Education, Music Teacher Education, Physical Education Teaching and Coaching, English Language and Literature (General), Athletic Training/Trainer, Occupational Therapy/Therapist, Pharmacy, Physical Therapy/Therapist, Physician Assistant, Registered Nursing/Registered Nurse, Criminal Justice/Law Enforcement Administration, Mathematics (General), Multi/Interdisciplinary Studies (Other), Exercise Science and Kinesiology, Parks/Recreation/Leisure Facilities Management (General), Sport and Fitness Administration/Management, Religion/Religious Studies, Chemistry (General), Chemistry (Other), Psychology (General), Human Services (General), Political Science and Government (General), Sociology (General), Music Performance (General), Music (General)"
,,,,,Mount Vernon,Washington,98273-4226,US,36.089554,-80.225033, Winston-Salem State University,199999,,,,,,"Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Mass Communication/Media Studies, Computer and Information Sciences (General), Computer Science, Information Technology, Elementary Education and Teaching, Kindergarten/Preschool Education and Teaching, Physical Education Teaching and Coaching, Teacher Education and Professional Development/Specific Levels and Methods (Other), Teacher Education and Professional Development/Specific Subject Areas (Other), English Language and Literature (General), Clinical Laboratory Science/Medical Technology/Technologist, Family Practice Nurse/Nursing, Health/Health Care Administration/Management, Nursing Practice, Occupational Therapy/Therapist, Physical Therapy/Therapist, Registered Nursing/Registered Nurse, Therapeutic Recreation/Recreational Therapy, Vocational Rehabilitation Counseling/Counselor, History (General), Criminal Justice/Safety Studies, General Studies, Mathematics (General), Gerontology, Exercise Science and Kinesiology, Parks/Recreation/Leisure Facilities Management (General), Sport and Fitness Administration/Management, Chemistry (General), Psychology (General), Social Work, Economics (General), Political Science and Government (General), Sociology (General), Art/Art Studies (General), Music (General)"
,,,,,Seattle,Washington,98122,US,35.308979,-83.186258, Western Carolina University,200004,,,,,,"Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Business Administration/Management and Operations (Other), Entrepreneurship/Entrepreneurial Studies, Finance (General), Hospitality Administration/Management (General), Human Resources Management/Personnel Administration (General), Management Information Systems (General), Marketing (Other), Marketing/Marketing Management (General), Radio/Television/Digital Communication (Other), Speech Communication and Rhetoric, Computer Science, Art Teacher Education, College Student Counseling and Personnel Services, Counselor Education/School Counseling and Guidance Services, Education (General), Educational Leadership and Administration (General), Educational/Instructional/Curriculum Supervision, Elementary Education and Teaching, English/Language Arts Teacher Education, Junior High/Intermediate/Middle School Education and Teaching, Kindergarten/Preschool Education and Teaching, Mathematics Teacher Education, Music Teacher Education, Physical Education Teaching and Coaching, Science Teacher Education/General Science Teacher Education, Social Studies Teacher Education, Special Education and Teaching (General), Teacher Education and Professional Development/Specific Levels and Methods (Other), Electrical and Electronics Engineering, Engineering (General), Construction Engineering Technology/Technician, Electrical/Electronic/Communications Engineering Technology/Technician, Engineering Technologies/Technicians (General), Industrial Technology/Technician, English Language and Literature (General), Spanish Language and Literature, Athletic Training/Trainer, Communication Sciences and Disorders (General), Dietetics/Dietitian, Emergency Medical Technology/Technician (EMT Paramedic), Environmental Health, Health Services/Allied Health/Health Sciences (General), Health/Health Care Administration/Management, Nursing Practice, Physical Therapy/Therapist, Registered Nursing/Registered Nurse, Therapeutic Recreation/Recreational Therapy, History (General), Criminal Justice/Safety Studies, Liberal Arts and Sciences/Liberal Studies, Mathematics (General), International/Globalization Studies, Environmental Science, Environmental/Natural Resources Management and Policy (General), Outdoor Education, Parks/Recreation/Leisure Facilities Management (General), Sport and Fitness Administration/Management, Philosophy, Chemistry (General), Forensic Chemistry, Geology/Earth Science (General), Psychology (General), Public Administration, Social Work, Anthropology (General), Political Science and Government (General), Sociology (General), Art/Art Studies (General), Drama and Dramatics/Theatre Arts (General), Fine/Studio Arts (General), Interior Design, Music Performance (General), Music (General)"
,,,,,South Hill,Washington,98388-5107,US,46.882917,-102.799679, Dickinson State University,200059,,,,,,"Agriculture (General), Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Business/Commerce (General), Entrepreneurship/Entrepreneurial Studies, Finance (General), Human Resources Management/Personnel Administration (General), Speech Communication and Rhetoric, Computer and Information Sciences (General), Data Processing and Data Processing Technology/Technician, Information Science/Studies, Business and Innovation/Entrepreneurship Teacher Education, Elementary Education and Teaching, English/Language Arts Teacher Education, History Teacher Education, Mathematics Teacher Education, Music Teacher Education, Physical Education Teaching and Coaching, Secondary Education and Teaching, Social Science Teacher Education, English Language and Literature (General), Registered Nursing/Registered Nurse, History (General), Multi/Interdisciplinary Studies (Other), Environmental Science, Exercise Science and Kinesiology, Psychology (General), Political Science and Government (General), Social Sciences (General), Drama and Dramatics/Theatre Arts (General), Music (General)"
,,,,,Wapato,Washington,98951-1324,US,46.914302,-98.698416, University of Jamestown,200156,,,,,,"Biochemistry, Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Financial Planning and Services, Management Information Systems (General), Organizational Leadership, Speech Communication and Rhetoric, Computer and Information Sciences (General), Information Technology, Curriculum and Instruction, Educational Leadership and Administration (General), Elementary Education and Teaching, English/Language Arts Teacher Education, Health Teacher Education, History Teacher Education, Music Teacher Education, Physical Education Teaching and Coaching, Mechanical Engineering, Engineering/Industrial Management, English Language and Literature (General), Spanish Language and Literature, Medical Radiologic Technology/Science Radiation Therapist, Physical Therapy/Therapist, Registered Nursing/Registered Nurse, History (General), Criminal Justice/Safety Studies, Exercise Science and Kinesiology, Sport and Fitness Administration/Management, Sports/Kinesiology/Physical Education/Fitness (General), Philosophy and Religious Studies (Other), Chemistry (General), Clinical/Counseling and Applied Psychology (Other), Psychology (General), Political Science and Government (General), Art/Art Studies (General), Graphic Design, Music Performance (General)"
,,,,,Yakima,Washington,98901-2927,US,46.723767,-100.75274, University of Mary,200217,,,,,,"Biology/Biological Sciences (General), Biomechanics, Exercise Physiology and Kinesiology, Accounting, Business Administration and Management (General), Construction Management (General), Finance (General), Information Resources Management, Marketing/Marketing Management (General), Project Management, Mass Communication/Media Studies, Computer and Information Sciences (General), Computer Science, Biology Teacher Education, Early Childhood Education and Teaching, Education/Teaching of Individuals with Intellectual Disabilities, Educational Leadership and Administration (General), Educational/Instructional/Curriculum Supervision, Elementary and Middle School Administration/Principalship, Elementary Education and Teaching, English/Language Arts Teacher Education, History Teacher Education, Mathematics Teacher Education, Music Teacher Education, Physical Education Teaching and Coaching, Reading Teacher Education, Secondary School Administration/Principalship, Social Science Teacher Education, Special Education and Teaching (General), Superintendency and Educational System Administration, Civil Engineering (General), Electrical and Electronics Engineering, Mechanical Engineering, English Language and Literature (General), Spanish Language and Literature, Bioethics/Medical Ethics, Clinical Laboratory Science/Medical Technology/Technologist, Communication Sciences and Disorders (General), Family Practice Nurse/Nursing, Health/Health Care Administration/Management, Medical Informatics, Mental Health Counseling/Counselor, Nursing Administration, Nursing Education, Nursing Practice, Occupational Therapy/Therapist, Physical Therapy/Therapist, Radiologic Technology/Science Radiographer, Registered Nursing/Registered Nurse, Respiratory Care Therapy/Therapist, SpeechLanguage Pathology/Pathologist, History (General), Criminal Justice/Safety Studies, General Studies, Mathematics (General), Exercise Science and Kinesiology, Sport and Fitness Administration/Management, Sports Studies, Sports/Kinesiology/Physical Education/Fitness (General), Christian Studies, Philosophy, Chemistry (General), Psychology (General), Human Services (General), Public Administration, Social Work, Political Science and Government (General), Theology/Theological Studies, Drama and Dramatics/Theatre Arts (General), Music Performance (General), Music (General), Music (Other)"
,,,,,Lakebay,Washington,98349-9326,US,47.505415,-97.322554, Mayville State University,200226,,,,,,"Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Business Administration/Management and Operations (Other), Speech Communication and Rhetoric, Early Childhood Education and Teaching, Elementary Education and Teaching, Health Teacher Education, Mathematics Teacher Education, Physical Education Teaching and Coaching, Secondary Education and Teaching, Social Science Teacher Education, Special Education and Teaching (General), English Language and Literature (General), Child Care and Support Services Management, Clinical Laboratory Science/Medical Technology/Technologist, Registered Nursing/Registered Nurse, General Studies, Mathematics (General), Sport and Fitness Administration/Management, Sports/Kinesiology/Physical Education/Fitness (General), Chemistry (General), Applied Psychology, Social Sciences (General)"
,,,,,Bellevue,Washington,98008-3946,US,48.246961,-101.29861, Minot State University,200253,,,,,,"Disability Studies, Biology/Biological Sciences (General), Biomathematics/Bioinformatics/Computational Biology (Other), Accounting, Business Administration and Management (General), Finance and Financial Management Services (Other), Finance (General), International Business/Trade/Commerce, Management Information Systems and Services (Other), Management Information Systems (General), Marketing/Marketing Management (General), Communication (General), Communications Technologies/Technicians and Support Services (Other), Computer and Information Sciences (General), Art Teacher Education, Early Childhood Education and Teaching, Education (General), Elementary Education and Teaching, English/Language Arts Teacher Education, History Teacher Education, Mathematics Teacher Education, Music Teacher Education, Physical Education Teaching and Coaching, Science Teacher Education/General Science Teacher Education, Special Education and Teaching (General), Special Education and Teaching (Other), English Language and Literature (General), Sign Language Interpretation and Translation, Clinical Laboratory Science/Medical Technology/Technologist, Communication Sciences and Disorders (General), Radiologic Technology/Science Radiographer, Registered Nursing/Registered Nurse, Rehabilitation Science, Substance Abuse/Addiction Counseling, History (General), Criminal Justice/Safety Studies, General Studies, Mathematics (General), Sport and Fitness Administration/Management, Chemistry (General), Geology/Earth Science (General), Psychology (General), Social Work, Sociology (General), Art/Art Studies (General), Music (General)"
,,,,,Spokane,Washington,99202-4150,US,47.921654,-97.071738, University of North Dakota,200280,,,,,,"Chinese Studies, Anatomy, Biology/Biological Sciences (General), Biomedical Sciences (General), Molecular Biology, Wildlife Biology, Accounting, Accounting and Finance, Business Administration and Management (General), Business/Managerial Economics, Entrepreneurship/Entrepreneurial Studies, Finance (General), Human Resources Management/Personnel Administration (General), Investments and Securities, Marketing/Marketing Management (General), Operations Management and Supervision, Communication (General), Computer and Information Sciences (General), Computer and Information Systems Security/Auditing/Information Assurance, Computer Science, Computer Systems Analysis/Analyst, Counselor Education/School Counseling and Guidance Services, Curriculum and Instruction, Early Childhood Education and Teaching, Education (General), Educational Administration and Supervision (Other), Educational Assessment/Evaluation/Research (Other), Educational Leadership and Administration (General), Educational/Instructional Technology, Elementary Education and Teaching, Foreign Language Teacher Education, Higher Education/Higher Education Administration, Music Teacher Education, Reading Teacher Education, Science Teacher Education/General Science Teacher Education, Secondary Education and Teaching, Social Studies Teacher Education, Special Education and Teaching (General), Teacher Education and Professional Development/Specific Levels and Methods (Other), Teaching English as a Second or Foreign Language/ESL Language Instructor, Architectural Engineering, Bioengineering and Biomedical Engineering, Chemical Engineering, Civil Engineering (General), Electrical and Electronics Engineering, Engineering (Other), Environmental/Environmental Health Engineering, Geological/Geophysical Engineering, Mechanical Engineering, Petroleum Engineering, Systems Engineering, Industrial Technology/Technician, English Language and Literature (General), Human Nutrition, Classics and Classical Languages/Literatures/Linguistics (General), Foreign Languages and Literatures (General), Linguistics, Norwegian Language and Literature, Spanish Language and Literature, Athletic Training/Trainer, Clinical Laboratory Science/Medical Technology/Technologist, Clinical Nutrition/Nutritionist, Communication Sciences and Disorders (General), Dietetics/Dietitian, Health and Wellness (General), Medicine, Nursing Practice, Occupational Therapy/Therapist, Physical Therapy/Therapist, Physician Assistant, Public Health Education and Promotion, Public Health (General), Registered Nursing/Registered Nurse, Rehabilitation Science, History (General), Criminal Justice/Safety Studies, Forensic Science and Technology, Law, General Studies, Mathematics (General), International/Globalization Studies, Multi/Interdisciplinary Studies (Other), Environmental Studies, Exercise Science and Kinesiology, Philosophy, Atmospheric Sciences and Meteorology (General), Chemistry (General), Geology/Earth Science (General), Physics (General), Clinical Psychology, Counseling Psychology, Forensic Psychology, Psychology (General), Public Administration, Social Work, Anthropology (General), Econometrics and Quantitative Economics, Economics (General), Geography, Political Science and Government (General), Social Sciences (General), Sociology (General), Aeronautics/Aviation/Aerospace Science and Technology (General), Air Traffic Controller, Air Transportation (Other), Aviation/Airway Management and Operations, Art/Art Studies (General), Drama and Dramatics/Theatre Arts (General), Graphic Design, Music (General), Musical Theatre"
,,,,,Usk,Washington,99180,US,46.893127,-96.800838, North Dakota State University-Main Campus,200332,,,,,,"Agribusiness/Agricultural Business Operations, Agricultural and Extension Education Services, Agricultural Business and Management (General), Agricultural Communication/Journalism, Agricultural Economics, Agricultural Mechanization (General), Agriculture (General), Agroecology and Sustainable Agriculture, Agronomy and Crop Science, Animal Sciences (General), Crop Production, Equestrian/Equine Studies, Food Science, Food Science and Technology (Other), Food Technology and Processing, Horticultural Science, International Agriculture, Range Science and Management, Soil Science and Agronomy (General), Veterinary/Animal Health Technology/Technician and Veterinary Assistant, Architecture, Environmental Design/Architecture, Landscape Architecture, Women's Studies, Biochemistry and Molecular Biology, Biology/Biological Sciences (General), Biotechnology, Cell/Cellular and Molecular Biology, Entomology, Environmental Biology, Genome Sciences/Genomics, Microbiology (General), Plant Pathology/Phytopathology, Zoology/Animal Biology, Accounting, Accounting and Related Services (Other), Business Administration and Management (General), Business Administration/Management and Operations (Other), Business/Corporate Communications (General), Finance (General), Hospitality Administration/Management (General), Management Information Systems (General), Management Science, Marketing/Marketing Management (General), Communication (General), Journalism (Other), Public Relations/Advertising/Applied Communication, Computer Science, Agricultural Teacher Education, Art Teacher Education, Biology Teacher Education, Counselor Education/School Counseling and Guidance Services, Educational Evaluation and Research, Educational Leadership and Administration (General), English/Language Arts Teacher Education, Family and Consumer Sciences/Home Economics Teacher Education, French Language Teacher Education, History Teacher Education, Mathematics Teacher Education, Physical Education Teaching and Coaching, Social Studies Teacher Education, Spanish Language Teacher Education, Teacher Education/Multiple Levels, Agricultural Engineering, Bioengineering and Biomedical Engineering, Civil Engineering (General), Computer Engineering (General), Computer Software Engineering, Construction Engineering, Electrical and Electronics Engineering, Industrial Engineering, Manufacturing Engineering, Mechanical Engineering, Construction Engineering Technology/Technician, English Language and Literature (General), Rhetoric and Composition, Apparel and Textiles (General), Foods/Nutrition/Wellness Studies (General), Human Development and Family Studies (General), Spanish Language and Literature, Athletic Training/Trainer, Clinical Laboratory Science/Medical Technology/Technologist, Dietetics/Dietitian, Family Practice Nurse/Nursing, Health Services/Allied Health/Health Sciences (General), Pharmaceutical Sciences, Pharmacy, Public Health (General), Radiologic Technology/Science Radiographer, Registered Nursing/Registered Nurse, Respiratory Care Therapy/Therapist, History (General), Public/Applied History, Criminal Justice/Safety Studies, Crisis/Emergency/Disaster Management, Humanities/Humanistic Studies, Mathematics (General), Statistics (General), Multi/Interdisciplinary Studies (Other), Environmental/Natural Resources Management and Policy (General), Exercise Science and Kinesiology, Sport and Fitness Administration/Management, Chemistry (General), Geology/Earth Science (General), Materials Sciences (Other), Physics (General), Polymer Chemistry, Developmental and Child Psychology, Psychology (General), Anthropology (General), Development Economics and International Development, Economics (General), Political Science and Government (General), Sociology (General), Art/Art Studies (General), Drama and Dramatics/Theatre Arts (General), Interior Design, Music (General)"
,,,,,Graham,Washington,98338,US,46.918517,-98.00389, Valley City State University,200572,,,,,,"Business Administration and Management (General), Management Information Systems (General), Speech Communication and Rhetoric, Art Teacher Education, Biology Teacher Education, Business and Innovation/Entrepreneurship Teacher Education, Elementary Education and Teaching, English/Language Arts Teacher Education, History Teacher Education, Mathematics Teacher Education, Physical Education Teaching and Coaching, Secondary Education and Teaching, Social Science Teacher Education, Technical Teacher Education, Technology Teacher Education/Industrial Arts Teacher Education, Computer Software Engineering, English Language and Literature (General), Athletic Training/Trainer, Health/Medical Preparatory Programs (Other), History (General), General Studies, Wildlife/Fish and Wildlands Science and Management, Sports/Kinesiology/Physical Education/Fitness (General), Psychology (General), Human Services (General), Art/Art Studies (General), Music (General)"
,,,,,Renton,Washington,98055-2126,US,41.075923,-81.511167, University of Akron Main Campus,200800,,,,,,"Biochemistry, Biology/Biological Sciences (General), Biomedical Sciences (General), Exercise Physiology and Kinesiology, Accounting, Business Administration and Management (General), Business Administration/Management and Operations (Other), Business/Commerce (General), Finance (General), Financial Planning and Services, Human Resources Management/Personnel Administration (General), Insurance, International Business/Trade/Commerce, Logistics/Materials/Supply Chain Management, Management Science, Marketing/Marketing Management (General), Operations Management and Supervision, Organizational Leadership, Sales/Distribution/Marketing Operations (General), Taxation, Communication (General), Organizational Communication (General), Public Relations/Image Management, Radio and Television, Radio/Television/Digital Communication (Other), Speech Communication and Rhetoric, Computer and Information Systems Security/Auditing/Information Assurance, Computer Programming (Other), Computer Programming/Programmer (General), Computer Science, Computer Systems Networking and Telecommunications, Information Science/Studies, Art Teacher Education, Counselor Education/School Counseling and Guidance Services, Curriculum and Instruction, Education/Teaching of Individuals in Early Childhood Special Education Programs, Educational Assessment/Evaluation/Research (Other), Educational Leadership and Administration (General), English/Language Arts Teacher Education, Family and Consumer Sciences/Home Economics Teacher Education, Higher Education/Higher Education Administration, Junior High/Intermediate/Middle School Education and Teaching, Mathematics Teacher Education, Music Teacher Education, Reading Teacher Education, Science Teacher Education/General Science Teacher Education, Social Studies Teacher Education, Special Education and Teaching (General), Aerospace/Aeronautical/Astronautical/Space Engineering (General), Bioengineering and Biomedical Engineering, Chemical Engineering, Civil Engineering (General), Computer Engineering (General), Electrical and Electronics Engineering, Engineering (General), Mechanical Engineering, Polymer/Plastics Engineering, Construction Engineering Technology/Technician, Electrical/Electronic/Communications Engineering Technology/Technician, Manufacturing Engineering Technology/Technician, Mechanical/Mechanical Engineering Technology/Technician, Surveying Technology/Surveying, Creative Writing, English Language and Literature (General), Apparel and Textiles (General), Child Development, Family and Consumer Sciences/Human Sciences (Other), Housing and Human Environments (General), French Language and Literature, Spanish Language and Literature, Audiology/Audiologist, Audiology/Audiologist and SpeechLanguage Pathology/Pathologist, Clinical Nutrition/Nutritionist, Communication Sciences and Disorders (General), Geriatric Nurse/Nursing, Health Professions and Related Clinical Sciences (Other), Kinesiotherapy/Kinesiotherapist, Marriage and Family Therapy/Counseling, Mental and Social Health Services and Allied Professions (Other), Mental Health Counseling/Counselor, Nursing Practice, PrePhysical Therapy Studies, Registered Nursing/Registered Nurse, Respiratory Care Therapy/Therapist, History (General), Criminal Justice/Safety Studies, Crisis/Emergency/Disaster Management, Cyber/Computer Forensics and Counterterrorism, Financial Forensics and Fraud Investigation, Fire Protection (Other), Law Enforcement Intelligence Analysis, Advanced Legal Research/Studies (General), Law, Liberal Arts and Sciences/Liberal Studies, Applied Mathematics (General), Mathematics (General), Statistics (General), Statistics (Other), Mathematics and Computer Science, Sport and Fitness Administration/Management, Philosophy, Chemistry (General), Geology/Earth Science (General), Physics (General), Polymer Chemistry, Counseling Psychology, Geropsychology, Industrial and Organizational Psychology, Psychology (General), Public Administration, Social Work, Anthropology (General), Criminology, Econometrics and Quantitative Economics, Economics (General), Geographic Information Science and Cartography, National Security Policy Studies, Political Science and Government (General), Political Science and Government (Other), Social Sciences (General), Sociology (General), Art History/Criticism and Conservation, Ceramic Arts and Ceramics, Conducting, Dance (General), Drama and Dramatics/Theatre Arts (General), Fine Arts and Art Studies (Other), Fine/Studio Arts (General), Graphic Design, Jewelry Arts, Music Performance (General), Music Theory and Composition, Music (General), Photography, Printmaking, Sculpture, Theatre/Theatre Arts Management, Voice and Opera"
,,,,,Black Diamond,Washington,98010,US,40.861755,-82.321061, Ashland University,201104,,,,,,"Biochemistry, Biology/Biological Sciences (General), Exercise Physiology and Kinesiology, Toxicology, Accounting, Actuarial Science, Business Administration and Management (General), Business/Commerce (General), Entrepreneurship/Entrepreneurial Studies, Fashion Merchandising, Finance (General), Hospitality Administration/Management (General), International Business/Trade/Commerce, Logistics/Materials/Supply Chain Management, Management Information Systems (General), Marketing/Marketing Management (General), Organizational Leadership, Communication (General), Health Communication, Journalism (Other), Organizational Communication (General), Radio and Television, Sports Communication, Computer and Information Systems Security/Auditing/Information Assurance, Computer Science, Art Teacher Education, Biology Teacher Education, Computer Teacher Education, Curriculum and Instruction, Early Childhood Education and Teaching, Education/Teaching of Individuals in Early Childhood Special Education Programs, Education/Teaching of Individuals with Multiple Disabilities, Education/Teaching of the Gifted and Talented, Educational Leadership and Administration (General), English/Language Arts Teacher Education, French Language Teacher Education, Junior High/Intermediate/Middle School Education and Teaching, Mathematics Teacher Education, Music Teacher Education, Science Teacher Education/General Science Teacher Education, Social Studies Teacher Education, Spanish Language Teacher Education, Creative Writing, English Language and Literature (General), Athletic Training/Trainer, Dietetics/Dietitian, Nursing Practice, American History (United States), History (General), Criminal Justice/Law Enforcement Administration, Mathematics (General), Multi/Interdisciplinary Studies (Other), Environmental Science, Sport and Fitness Administration/Management, Chemistry (General), Forensic Chemistry, Geology/Earth Science (General), Clinical/Counseling and Applied Psychology (Other), Psychology (General), Social Work, Economics (General), International Relations and Affairs, Political Science and Government (General), Political Science and Government (Other), Bible/Biblical Studies, Divinity/Ministry, Theological and Ministerial Studies (Other), Theology/Theological Studies, Commercial and Advertising Art, Drama and Dramatics/Theatre Arts (General), Fine/Studio Arts (General), Music Performance (General)"
,,,,,Buckley,Washington,98321,US,41.373017,-81.851145, Baldwin Wallace University,201195,,,,,,"Biology/Biological Sciences (General), Exercise Physiology and Kinesiology, Neuroscience, Accounting, Business Administration and Management (General), ECommerce/Electronic Commerce, Finance (General), Hospitality Administration/Management (General), Human Resources Management/Personnel Administration (General), International Business/Trade/Commerce, Management Science, Marketing/Marketing Management (General), Organizational Leadership, Broadcast Journalism, Mass Communication/Media Studies, Public Relations/Image Management, Speech Communication and Rhetoric, Computer Science, Computer Systems Networking and Telecommunications, Informatics, Web Page/Digital/Multimedia and Information Resources Design, Early Childhood Education and Teaching, Education (General), Education/Teaching of Individuals with Specific Learning Disabilities, Educational Leadership and Administration (General), Higher Education/Higher Education Administration, Junior High/Intermediate/Middle School Education and Teaching, Music Teacher Education, Reading Teacher Education, Secondary Education and Teaching, Computer Software Engineering, Engineering (General), Creative Writing, English Language and Literature (General), Spanish Language and Literature, Athletic Training/Trainer, Communication Sciences and Disorders (General), Health Professions and Related Clinical Sciences (Other), Health Services Administration, Health/Health Care Administration/Management, Music Therapy/Therapist, Physician Assistant, Public Health (General), Registered Nursing/Registered Nurse, SpeechLanguage Pathology/Pathologist, History (General), Public/Applied History, Criminal Justice/Safety Studies, Applied Mathematics (General), Mathematics (General), International/Globalization Studies, Multi/Interdisciplinary Studies (Other), Environmental Science, Environmental Studies, Parks/Recreation/Leisure Facilities Management (General), Sport and Fitness Administration/Management, Sports/Kinesiology/Physical Education/Fitness (General), Religion/Religious Studies, Chemistry (General), Physics (General), Psychology (General), Econometrics and Quantitative Economics, Economics (General), National Security Policy Studies, Political Science and Government (General), Sociology (General), Acting, Art/Art Studies (General), Dance (General), Directing and Theatrical Production, Film/Cinema/Media Studies, Fine and Studio Arts Management, Fine/Studio Arts (General), Graphic Design, Keyboard Instruments, Music Performance (General), Music Theory and Composition, Music (General), Musical Theatre, Technical Theatre/Theatre Design and Technology, Visual and Performing Arts (Other), Voice and Opera"
,,,,,Puyallup,Washington,98371,US,40.895606,-83.899439, Bluffton University,201371,,,,,,"Biology/Biological Sciences (General), Accounting, Business Administration and Management (General), Marketing/Marketing Management (General), Organizational Behavior Studies, Digital Communication and Media/Multimedia, Speech Communication and Rhetoric, Information Technology, Education (General), Elementary Education and Teaching, Junior High/Intermediate/Middle School Education and Teaching, Music Teacher Education, Special Education and Teaching (General), Teaching English as a Second or Foreign Language/ESL Language Instructor, English Language and Literature (General), Child Development, Foods/Nutrition/Wellness Studies (General), Audiology/Audiologist and SpeechLanguage Pathology/Pathologist, PrePhysical Therapy Studies, History (General), Criminal Justice/Safety Studies, Mathematics (General), Sport and Fitness Administration/Management, Sports/Kinesiology/Physical Education/Fitness (General), Chemistry (General), Psychology (General), Social Work, Economics (General), Social Sciences (General), Sociology (General), Bible/Biblical Studies, Graphic Design, Music (General)"
