Location_Name,County,Operator,Type,Address,City,State_province,Zip,Country_ISO3166_alpha2,Phone,URL,Languages,Devices_available,Accessibility,Clients,Public,School,Longitude,Latitude,Programslist
Southeast Neighborhood Service Center,King,Southeast Neighborhood Service Center,Government/Public Community Center,3815 S Othello St. Suite 105,Seattle,,98118,US,[+1] 206-233-5061,http://www.seattle.gov/neighborhoods/nsc/southeast.htm,,Computer,None,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Small Businesses, Youth: Pre-teen, Youth: Teen",All Public, Trinity College,-72.690882,41.747451,"American/United States Studies/Civilization, Area Studies (Other), Latin American and Caribbean Studies, Women's Studies, Biochemistry, Biology/Biological Sciences (General), Neuroscience, Computer and Information Sciences and Support Services (Other), Computer and Information Sciences (General), Education (Other), Engineering (General), English Language and Literature (General), English Language and Literature/Letters (Other), Classics and Classical Languages/Literatures/Linguistics (General), Foreign Languages and Literatures (General), French Language and Literature, German Language and Literature, Russian Language and Literature, Spanish Language and Literature, History (General), Mathematics (General), Multi/Interdisciplinary Studies (Other), Environmental Science, Philosophy, Chemistry (General), Physics (General), Psychology (General), International Policy Analysis, Public Policy Analysis (General), Anthropology (General), Econometrics and Quantitative Economics, Economics (General), Political Science and Government (General), Sociology (General), Urban Studies/Affairs, Art History/Criticism and Conservation, Drama and Dramatics/Theatre Arts (General), Fine/Studio Arts (General), Music (General), American/United States Studies/Civilization, Area Studies (Other), Latin American and Caribbean Studies, Women's Studies, Biochemistry, Biology/Biological Sciences (General), Neuroscience, Computer and Information Sciences and Support Services (Other), Computer and Information Sciences (General), Education (Other), Engineering (General), English Language and Literature (General), English Language and Literature/Letters (Other), Classics and Classical Languages/Literatures/Linguistics (General), Foreign Languages and Literatures (General), French Language and Literature, German Language and Literature, Russian Language and Literature, Spanish Language and Literature, History (General), Mathematics (General), Multi/Interdisciplinary Studies (Other), Environmental Science, Philosophy, Chemistry (General), Physics (General), Psychology (General), International Policy Analysis, Public Policy Analysis (General), Anthropology (General), Econometrics and Quantitative Economics, Economics (General), Political Science and Government (General), Sociology (General), Urban Studies/Affairs, Art History/Criticism and Conservation, Drama and Dramatics/Theatre Arts (General), Fine/Studio Arts (General), Music (General)"
Broadview Branch,King,Seattle Public Library,Library,12755 Greenwood Ave. N.,Seattle,,98133,US,[+1] 206-684-7519,http://www.spl.org/locations/broadview-branch/bro-computers-and-equipment,"English, Language Line Services","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Wesleyan University,-72.657146,41.554665,"AfricanAmerican/Black Studies, American/United States Studies/Civilization, East Asian Studies, Ethnic/Cultural Minority/Gender/Group Studies (Other), French Studies, German Studies, Italian Studies, Latin American Studies, Russian Studies, Spanish and Iberian Studies, Biology/Biological Sciences (General), Molecular Biochemistry, Computer Science, Social and Philosophical Foundations of Education, English Language and Literature (General), English Language and Literature/Letters (Other), Romance Languages/Literatures/Linguistics (General), History (General), Humanities/Humanistic Studies, Liberal Arts and Sciences/Liberal Studies, Mathematics (General), Ancient Studies/Civilization, Biological and Physical Sciences, Science/Technology and Society, Environmental Studies, Philosophy, Religion/Religious Studies, Astronomy, Chemistry (General), Physical Sciences (General), Physics (General), Behavioral Neuroscience, Psychology (General), Anthropology (General), Archeology, Econometrics and Quantitative Economics, Political Science and Government (General), Social Sciences (Other), Sociology (General), Art History/Criticism and Conservation, Dance (General), Drama and Dramatics/Theatre Arts (General), Film/Cinema/Media Studies, Fine/Studio Arts (General), Music (Other), Musicology and Ethnomusicology"
Richland Public Library,Benton,Richland Public Library,Library,955 Northgate Dr,Richland,,99352-3539,US,[+1] 509-943-7450,http://www.richland.lib.wa.us,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Western Connecticut State University,-73.444264,41.400365,"Biology/Biological Sciences (General), Conservation Biology, Accounting, Business Administration and Management (General), Business/Commerce (General), Finance (General), Management Information Systems (General), Marketing/Marketing Management (General), Communication and Media Studies (Other), Digital Communication and Media/Multimedia, Speech Communication and Rhetoric, Computer and Information Sciences (General), Computer Programming/Programmer (General), Counselor Education/School Counseling and Guidance Services, Education (General), Educational Leadership and Administration (General), Elementary Education and Teaching, Health Teacher Education, Music Teacher Education, Secondary Education and Teaching, Special Education and Teaching (General), Teacher Education/Multiple Levels, Creative Writing, English Language and Literature (General), Writing (General), Spanish Language and Literature, Adult Health Nurse/Nursing, Community Health Services/Liaison/Counseling, Health/Health Care Administration/Management, Nursing Practice, Registered Nursing/Registered Nurse, History (General), Criminal Justice/Police Science, Mathematics (General), Multi/Interdisciplinary Studies (General), Atmospheric Sciences and Meteorology (General), Chemistry (General), Geology/Earth Science (General), Applied Behavior Analysis, Clinical/Counseling and Applied Psychology (Other), Psychology (General), Social Work, Economics (General), Political Science and Government (General), Social Sciences (General), Sociology and Anthropology, Art/Art Studies (General), Drama and Dramatics/Theatre Arts (General), Fine/Studio Arts (General), Music Theory and Composition, Music (General), Musical Theatre"
University Neighborhood Service Center,King,University Neighborhood Service Center,Government/Public Community Center,4534 University Way NE,Seattle,,98105,US,[+1] 206-233-5061,http://www.seattle.gov/neighborhoods/nsc/university.htm,,Computer,None,"Adults, Disabled, Homeless, Immigrants/Refugees, Low Income, Seniors, Small Businesses, Youth: Pre-teen, Youth: Teen",All Public, Yale University,-72.926688,41.311158,"Architectural and Building Sciences/Technology, Architecture, City/Urban/Community/Regional Planning, African Studies, AfricanAmerican/Black Studies, American/United States Studies/Civilization, Area Studies (Other), East Asian Studies, Ethnic/Cultural Minority/Gender/Group Studies (Other), European Studies/Civilization, Near and Middle Eastern Studies, Women's Studies, Biochemistry and Molecular Biology, Biomathematics/Bioinformatics/Computational Biology (Other), Biostatistics, Cell/Cellular and Molecular Biology, Cell/Cellular Biology and Histology, Epidemiology, Evolutionary Biology, Genetics (General), Immunology, Medical Microbiology and Bacteriology, Neuroscience, Pathology/Experimental Pathology, Pharmacology, Physiology (General), Business Administration and Management (General), Finance (General), Computer and Information Sciences/ Other, Computer and Information Sciences (General), Computer Programming/Specific Applications, Bioengineering and Biomedical Engineering, Chemical Engineering, Electrical and Electronics Engineering, Engineering Physics/Applied Physics, Engineering Science, Engineering (General), Environmental/Environmental Health Engineering, Mechanical Engineering, English Language and Literature (General), Classics and Classical Languages/Literatures/Linguistics (General), Comparative Literature, Foreign Languages and Literatures (General), French Language and Literature, Italian Language and Literature, Linguistics, Spanish Language and Literature, Community Health and Preventive Medicine, Environmental Health, Health Professions and Related Clinical Sciences (Other), Health/Health Care Administration/Management, International Public Health/International Health, Medical Science/Scientist, Medicine, Physician Assistant, Public Health (General), Registered Nursing/Registered Nurse, History (General), Advanced Legal Research/Studies (General), Law, Humanities/Humanistic Studies, Liberal Arts and Sciences/Liberal Studies, Applied Mathematics (General), Financial Mathematics, Mathematics (General), Mathematics (Other), Statistics (General), Behavioral Sciences, Cognitive Science (General), Intercultural/Multicultural and Diversity Studies, Mathematics and Computer Science, Medieval and Renaissance Studies, Multi/Interdisciplinary Studies (Other), Environmental Science, Environmental Studies, Christian Studies, Philosophy, Philosophy and Religious Studies (General), Religion/Religious Studies, Astronomy, Astrophysics, Chemistry (General), Geology/Earth Science (General), Physics (General), Physics (Other), Experimental Psychology, Health Policy Analysis, Anthropology (General), Archeology, Econometrics and Quantitative Economics, International Relations and Affairs, Political Science and Government (General), Sociology (General), Bible/Biblical Studies, Divinity/Ministry, Theological and Ministerial Studies (Other), Theology/Theological Studies, Acting, Art History/Criticism and Conservation, Art/Art Studies (General), Conducting, Drama and Dramatics/Theatre Arts (General), Film/Cinema/Media Studies, Graphic Design, Keyboard Instruments, Music Performance (General), Music Theory and Composition, Music (General), Music (Other), Photography, Printmaking, Sculpture, Stringed Instruments, Technical Theatre/Theatre Design and Technology, Theatre Literature/History and Criticism, Theatre/Theatre Arts Management, Visual and Performing Arts (General), Voice and Opera"
Jefferson Terrace Computer Lab,King,"Jefferson Terrace Computer Lab Committee, Seattle Housing Authority, and Full Life Care",Housing,800 Jefferson Street,Seattle,,98104-2401,US,[+1] 206-382-0763,http://www.seattlehousing.org/housing/public/locations/jefferson-terrace/,English,"Computer, Wi-Fi","Blind/LV, Wheelchair accessible","Adults, Disabled, Immigrants/Refugees, Low Income, On-site Residents, Seniors",Limited Users, Delaware State University,-75.54053,39.187173,"Agriculture (General), Biological and Biomedical Sciences (Other), Biology/Biological Sciences (General), Neuroscience, Accounting, Business Administration and Management (General), Finance (General), Hospitality Administration/Management (General), Mass Communication/Media Studies, Computer Science, Art Teacher Education, Early Childhood Education and Teaching, Education (General), Educational Leadership and Administration (General), Elementary Education and Teaching, Junior High/Intermediate/Middle School Education and Teaching, Physical Education Teaching and Coaching, Teaching English as a Second or Foreign Language/ESL Language Instructor, Engineering Physics/Applied Physics, English Language and Literature (General), Apparel and Textiles (General), Foods/Nutrition/Wellness Studies (General), Occupational Therapy/Therapist, Public Health (General), Registered Nursing/Registered Nurse, History (General), Legal Professions and Studies (Other), General Studies, Liberal Arts and Sciences (General) Studies and Humanities (Other), Applied Mathematics (General), Mathematics (General), Environmental/Natural Resources Management and Policy (General), Natural Resources Conservation and Research (Other), Exercise Science and Kinesiology, Sport and Fitness Administration/Management, Chemistry (General), Chemistry (Other), Optics/Optical Sciences, Physics (General), Psychology (General), Public Administration, Social Work, Criminology, Political Science and Government (General), Sociology (General), Aeronautics/Aviation/Aerospace Science and Technology (General), Design and Applied Arts (Other), Fine/Studio Arts (General), Music (General), Visual and Performing Arts (Other)"
Kenmore Library,King,King County Library System,Library,6531 NE 181 St,Kenmore,,98028-2703,US,[+1] 425-486-8747,http://www.kcls.org/kenmore/,"English, Language Line Services","Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, University of Delaware,-75.752822,39.679577,"Agricultural Business and Management (General), Agriculture (General), Animal Sciences (General), Applied Horticulture/Horticultural Business Services (Other), Food Science, Plant Sciences (General), Plant Sciences (Other), PreVeterinary Studies, Landscape Architecture, AfricanAmerican/Black Studies, American/United States Studies/Civilization, Asian Studies/Civilization, Women's Studies, Anatomy, Biochemistry, Bioinformatics, Biology/Biological Sciences (General), Biomechanics, Biomedical Sciences (General), Biostatistics, Biotechnology, Computational Biology, Ecology, Entomology, Exercise Physiology and Kinesiology, Marine Biology and Biological Oceanography, Neuroscience, Physiology (General), Accounting, Actuarial Science, Business Administration and Management (General), Business Statistics, Entrepreneurship/Entrepreneurial Studies, Finance (General), Financial Planning and Services, Hospitality Administration/Management (Other), Hotel/Motel Administration/Management, Human Resources Management/Personnel Administration (General), International Business/Trade/Commerce, Management Information Systems (General), Management Sciences and Quantitative Methods (Other), Marketing/Marketing Management (General), Operations Management and Supervision, Public Relations/Advertising/Applied Communication, Speech Communication and Rhetoric, Computer and Information Sciences (General), Computer and Information Systems Security/Auditing/Information Assurance, Information Science/Studies, Biology Teacher Education, Early Childhood Education and Teaching, Earth Science Teacher Education, Education (General), Education (Other), Educational Leadership and Administration (General), Educational/Instructional Technology, Elementary Education and Teaching, English/Language Arts Teacher Education, History Teacher Education, Latin Teacher Education, Mathematics Teacher Education, Music Teacher Education, Psychology Teacher Education, Social Studies Teacher Education, Spanish Language Teacher Education, Special Education and Teaching (General), Teaching English as a Second or Foreign Language/ESL Language Instructor, Urban Education and Leadership, Bioengineering and Biomedical Engineering, Chemical Engineering, Civil Engineering (General), Computer Engineering (General), Construction Engineering, Electrical and Electronics Engineering, Environmental/Environmental Health Engineering, Mechanical Engineering, Mechatronics/Robotics/Automation Engineering, Ocean Engineering, Water Resources Engineering, English Language and Literature (General), Apparel and Textiles (General), Foods/Nutrition/Wellness Studies (General), Human Development and Family Studies (General), Human Nutrition, Ancient/Classical Greek Language and Literature, Chinese Language and Literature, Comparative Literature, Foreign Languages and Literatures (General), Foreign Languages/Literatures/Linguistics (Other), French Language and Literature, German Language and Literature, Italian Language and Literature, Japanese Language and Literature, Linguistics, Russian Language and Literature, Spanish Language and Literature, Allied Health Diagnostic/Intervention/Treatment Professions (Other), Athletic Training/Trainer, Behavioral Aspects of Health, Clinical Laboratory Science/Medical Technology/Technologist, Dietetics/Dietitian, Health and Wellness (General), Health Professions and Related Clinical Sciences (Other), Health Services/Allied Health/Health Sciences (General), Health/Health Care Administration/Management, Mental and Social Health Services and Allied Professions (Other), Nursing Practice, Nursing Science, Physical Therapy/Therapist, Public Health (General), Registered Nursing/Registered Nurse, SpeechLanguage Pathology/Pathologist, History (General), Crisis/Emergency/Disaster Management, Liberal Arts and Sciences/Liberal Studies, Applied Mathematics (General), Applied Statistics (General), Mathematics (General), Statistics (General), Cognitive Science (General), Computational Science, Financial Analytics, Geography and Environmental Studies, Historic Preservation and Conservation (General), International/Globalization Studies, Nutrition Sciences, Environmental Science, Environmental Studies, Environmental/Natural Resource Economics, Natural Resources Conservation and Research (Other), Wildlife/Fish and Wildlands Science and Management, Exercise Science and Kinesiology, Sport and Fitness Administration/Management, Philosophy, Atmospheric Sciences and Meteorology (General), Chemistry (General), Geology/Earth Science (General), Materials Science, Oceanography/Chemical and Physical, Physics (General), Research and Experimental Psychology (Other), School Psychology, Human Services (General), Public Administration, Public Policy Analysis (General), Anthropology (General), Criminology, Econometrics and Quantitative Economics, Economics (General), Economics (Other), Geographic Information Science and Cartography, International Relations and Affairs, Political Science and Government (General), Political Science and Government (Other), Sociology (General), Urban Studies/Affairs, Art History/Criticism and Conservation, Art/Art Studies (General), Design and Visual Communications (General), Fashion/Apparel Design, Fine/Studio Arts (General), Music Performance (General), Music (General), Music (Other), Voice and Opera"
Packwood Timberland Library,Lewis,Timberland Regional Library,Library,109 W. Main Street,Packwood,,98361-0589,US,[+1] 360-494-5111,http://www.trl.org/Locations/Pages/Locations.aspx,English,"Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Goldey-Beacom College,-75.689624,39.741501,"Accounting, Business Administration and Management (General), Business/Managerial Economics, Entrepreneurship/Entrepreneurial Studies, Finance (General), Human Resources Management/Personnel Administration (General), Information Resources Management, International Business/Trade/Commerce, Marketing/Marketing Management (General), Organizational Leadership, Taxation, Communication (General), English Language and Literature (General), Health/Health Care Administration/Management, Criminal Justice/Safety Studies, Legal Studies, Sport and Fitness Administration/Management, Counseling Psychology, Industrial and Organizational Psychology, Psychology (General), Human Services (General)"
Maple Valley Library,King,King County Library System,Library,21844 SE 248th St,Maple Valley,,98083-8582,US,[+1] 425-432-4620,http://www.kcls.org/maplevalley/,"English, Language Line Services","Computer, Wi-Fi",Blind/LV,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Wilmington University,-75.586998,39.682299,"Biology/Biological Sciences (General), Biotechnology, Accounting, Accounting and Business/Management, Accounting and Finance, Business Administration and Management (General), Business Statistics, Business/Corporate Communications (General), Digital Marketing, Finance (General), Human Resources Management/Personnel Administration (General), Management Information Systems (General), Marketing/Marketing Management (General), NonProfit/Public/Organizational Management, Organizational Behavior Studies, Organizational Leadership, Communication Management and Strategic Communications, Digital Communication and Media/Multimedia, Journalism, Animation/Interactive Technology/Video Graphics/Special Effects, Computer and Information Systems Security/Auditing/Information Assurance, Computer Game Programming, Computer Graphics, Computer Science, Computer Software and Media Applications (Other), Computer/Information Technology Services Administration and Management (Other), Information Technology, Web Page/Digital/Multimedia and Information Resources Design, Counselor Education/School Counseling and Guidance Services, Education (General), Educational Leadership and Administration (General), Educational/Instructional Technology, Elementary Education and Teaching, English/Language Arts Teacher Education, Higher Education/Higher Education Administration, Mathematics Teacher Education, Reading Teacher Education, Secondary Education and Teaching, Social Science Teacher Education, Special Education and Teaching (General), Teaching English as a Second or Foreign Language/ESL Language Instructor, Technical Teacher Education, Community Health and Preventive Medicine, Family Practice Nurse/Nursing, Health Services/Allied Health/Health Sciences (General), Health/Health Care Administration/Management, Mental Health Counseling/Counselor, Nursing Administration, Nursing Education, Nursing Practice, Registered Nursing/Nursing Administration/Nursing Research and Clinical Nursing (Other), Registered Nursing/Registered Nurse, Corrections and Criminal Justice (Other), Criminal Justice/Law Enforcement Administration, Homeland Security, Legal Assistant/Paralegal, Liberal Arts and Sciences/Liberal Studies, Business Analytics, Environmental Science, Sport and Fitness Administration/Management, Psychology (General), Human Services (General), Political Science and Government (General), Social Sciences (General), Social Sciences (Other), Cinematography and Film/Video Production, Design and Visual Communications (General), Photography"
New Futures Windsor Heights,King,New Futures,Housing,17229 32nd Ave SCommunity Center,SeaTac,,98188,US,[+1] 206-901-0180,http://newfutures.org/our-programs/our-sites/windsor-heights/,"English, Spanish",Computer,None,On-site Residents,Limited Users, American University,-77.088875,38.936005,"AfricanAmerican/Black Studies, American/United States Studies/Civilization, Asian Studies/Civilization, Near and Middle Eastern Studies, Women's Studies, Biochemistry, Biology/Biological Sciences (General), Biostatistics, Biotechnology, Neuroscience, Accounting, Business Administration and Management (General), Business Administration/Management and Operations (Other), Finance (General), Human Resources Management/Personnel Administration (General), International Business/Trade/Commerce, Management Science, Marketing/Marketing Management (General), Project Management, Real Estate, Taxation, Communication/Journalism/Related Programs (Other), Journalism, Mass Communication/Media Studies, Political Communication, Public Relations/Image Management, Recording Arts Technology/Technician, Computer Science, Information Science/Studies, Early Childhood Education and Teaching, Education/Teaching of Individuals with Specific Learning Disabilities, Educational Leadership and Administration (General), Elementary Education and Teaching, International and Comparative Education, Learning Sciences, Secondary Education and Teaching, Teaching English as a Second or Foreign Language/ESL Language Instructor, Creative Writing, General Literature, Foods/Nutrition/Wellness Studies (General), Arabic Language and Literature, Spanish Language and Literature, Health/Health Care Administration/Management, Public Health Education and Promotion, Public Health (General), History (General), Corrections and Criminal Justice (Other), Criminal Justice/Safety Studies, Homeland Security, Advanced Legal Research/Studies (General), American/U.S. Law/Legal Studies/Jurisprudence, Intellectual Property Law, International Business/Trade/Tax Law, International Law and Legal Studies, Law, Legal Studies, Applied Mathematics (General), Mathematics (General), Statistics (General), Statistics (Other), Multi/Interdisciplinary Studies (Other), Peace Studies and Conflict Resolution, Environmental Science, Environmental Studies, Sport and Fitness Administration/Management, Ethics, Jewish/Judaic Studies, Philosophy, Religion/Religious Studies, Chemistry (General), Physics (General), Clinical Psychology, Psychology (General), Public Administration, Public Policy Analysis (General), Anthropology (General), Development Economics and International Development, Econometrics and Quantitative Economics, Economics (General), International Economics, International Relations and Affairs, Political Science and Government (General), Political Science and Government (Other), Sociology (General), Art History/Criticism and Conservation, Arts/Entertainment/Media Management (General), Cinematography and Film/Video Production, Drama and Dramatics/Theatre Arts (General), Film/Cinema/Media Studies, Fine/Studio Arts (General), Game and Interactive Media Design, Graphic Design, Music (General), Musical Theatre, Photography"
Fife Library,Pierce,Pierce County Library Sytem,Library,6622 20th St. E,Fife,,98424,US,[+1] 253-548-3323,http://www.piercecountylibrary.org,"English, Spanish","Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, The Catholic University of America,-76.997909,38.933651,"Architecture, Biochemistry, Biology/Biological Sciences (General), Biotechnology, Cell/Cellular Biology and Histology, Accounting, Business Administration and Management (General), Business/Commerce (General), Finance (General), Marketing/Marketing Management (General), Mass Communication/Media Studies, Computer Science, Information Science/Studies, Information Technology, Curriculum and Instruction, Early Childhood Education and Teaching, Education (General), Elementary Education and Teaching, English/Language Arts Teacher Education, Bioengineering and Biomedical Engineering, Civil Engineering (General), Electrical and Electronics Engineering, Mechanical Engineering, Engineering/Industrial Management, Environmental/Environmental Engineering Technology/Technician, English Language and Literature (General), Ancient Near Eastern and Biblical Languages/Literatures/Linguistics, Ancient/Classical Greek Language and Literature, Classics and Classical Languages/Literatures/Linguistics (General), French Language and Literature, Latin Language and Literature, Middle/Near Eastern and Semitic Languages/Literatures/Linguistics (General), Middle/Near Eastern and Semitic Languages/Literatures/Linguistics (Other), Spanish Language and Literature, Adult Health Nurse/Nursing, Family Practice Nurse/Nursing, Health Services Administration, Nursing Practice, Nursing Science, Registered Nursing/Registered Nurse, American History (United States), History (General), Fire Services Administration, Advanced Legal Research/Studies (General), Law, General Studies, Library and Information Science, Financial Mathematics, Mathematics (General), Medieval and Renaissance Studies, Multi/Interdisciplinary Studies (Other), Philosophy, Religion/Religious Studies, Chemistry (General), Chemistry (Other), Materials Science, Physics (General), Physics (Other), Clinical Psychology, Developmental and Child Psychology, Experimental Psychology, Psychology (General), Public Policy Analysis (Other), Social Work, American Government and Politics (United States), Anthropology (General), Criminology, Development Economics and International Development, Econometrics and Quantitative Economics, International Economics, Political Science and Government (General), Social Sciences (General), Sociology (General), Bible/Biblical Studies, Divinity/Ministry, Religious Education, Theology and Religious Vocations (Other), Theology/Theological Studies, Drama and Dramatics/Theatre Arts (General), Fine/Studio Arts (General), Keyboard Instruments, Music History/Literature/Theory, Music Performance (General), Music Theory and Composition, Music (General), Stringed Instruments, Voice and Opera, Architecture, Biochemistry, Biology/Biological Sciences (General), Biotechnology, Cell/Cellular Biology and Histology, Accounting, Business Administration and Management (General), Business/Commerce (General), Finance (General), Marketing/Marketing Management (General), Mass Communication/Media Studies, Computer Science, Information Science/Studies, Information Technology, Curriculum and Instruction, Early Childhood Education and Teaching, Education (General), Elementary Education and Teaching, English/Language Arts Teacher Education, Bioengineering and Biomedical Engineering, Civil Engineering (General), Electrical and Electronics Engineering, Mechanical Engineering, Engineering/Industrial Management, Environmental/Environmental Engineering Technology/Technician, English Language and Literature (General), Ancient Near Eastern and Biblical Languages/Literatures/Linguistics, Ancient/Classical Greek Language and Literature, Classics and Classical Languages/Literatures/Linguistics (General), French Language and Literature, Latin Language and Literature, Middle/Near Eastern and Semitic Languages/Literatures/Linguistics (General), Middle/Near Eastern and Semitic Languages/Literatures/Linguistics (Other), Spanish Language and Literature, Adult Health Nurse/Nursing, Family Practice Nurse/Nursing, Health Services Administration, Nursing Practice, Nursing Science, Registered Nursing/Registered Nurse, American History (United States), History (General), Fire Services Administration, Advanced Legal Research/Studies (General), Law, General Studies, Library and Information Science, Financial Mathematics, Mathematics (General), Medieval and Renaissance Studies, Multi/Interdisciplinary Studies (Other), Philosophy, Religion/Religious Studies, Chemistry (General), Chemistry (Other), Materials Science, Physics (General), Physics (Other), Clinical Psychology, Developmental and Child Psychology, Experimental Psychology, Psychology (General), Public Policy Analysis (Other), Social Work, American Government and Politics (United States), Anthropology (General), Criminology, Development Economics and International Development, Econometrics and Quantitative Economics, International Economics, Political Science and Government (General), Social Sciences (General), Sociology (General), Bible/Biblical Studies, Divinity/Ministry, Religious Education, Theology and Religious Vocations (Other), Theology/Theological Studies, Drama and Dramatics/Theatre Arts (General), Fine/Studio Arts (General), Keyboard Instruments, Music History/Literature/Theory, Music Performance (General), Music Theory and Composition, Music (General), Stringed Instruments, Voice and Opera"
Lake Forest Park Library,King,King County Library System,Library,17171 Bothell Way NE,Lake Forest Park,,98155-5534,US,[+1] 206-362-8860,http://www.kcls.org/lakeforestpark/,"English, Language Line Services","Computer, Wi-Fi",None,"Adults, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, University of the District of Columbia,-77.066247,38.943819,"Agricultural Economics, Architecture, Biology/Biological Sciences (General), Oncology and Cancer Biology, Accounting, Business Administration/Management and Operations (Other), Finance (General), Hospitality Administration/Management (Other), Digital Communication and Media/Multimedia, Computer Science, Information Technology, Adult and Continuing Education Administration, Early Childhood Education and Teaching, Education (Other), Elementary Education and Teaching, Special Education and Teaching (General), Teacher Education and Professional Development/Specific Levels and Methods (Other), Bioengineering and Biomedical Engineering, Civil Engineering (General), Civil Engineering (Other), Mechanical Engineering, Electrical/Electronic Engineering Technologies/Technicians (Other), English Language and Literature (General), Human Development and Family Studies (General), Health Services Administration, Nursing Education, SpeechLanguage Pathology/Pathologist, Vocational Rehabilitation Counseling/Counselor, Securities Services Administration/Management, Law, Legal Studies, Mathematics (General), Nutrition Sciences, Water/Wetlands/Marine Resources Management, Chemistry (General), Psychology (General), Public Administration, Social Work, Political Science and Government (General), Urban Studies/Affairs, Art/Art Studies (General), Music (General)"
DuPont Library,Pierce,Pierce County Library Sytem,Library,1450 Wilminton Dr,DuPont,,98237-8771,US,[+1] 253-548-3326,http://www.piercecountylibrary.org,English,"Computer, Wi-Fi",Wheelchair accessible,"Adults, Disabled, Homeless, Low Income, Seniors, Youth: Pre-teen, Youth: Teen",All Public, Gallaudet University,-76.993675,38.907371,"Deaf Studies, Biology/Biological Sciences (General), Neuroscience, Accounting, Business Administration and Management (General), Insurance, NonProfit/Public/Organizational Management, Speech Communication and Rhetoric, Information Technology, Counselor Education/School Counseling and Guidance Services, Education (General), Education/Teaching of Individuals with Hearing Impairments Including Deafness, English Language and Literature (General), American Sign Language (ASL), Linguistics of ASL and Other Sign Languages, Sign Language Interpretation and Translation, Spanish Language and Literature, Audiology/Audiologist, Mental Health Counseling/Counselor, Public Health Education and Promotion, SpeechLanguage Pathology/Pathologist, History (Other), Mathematics (General), International/Globalization Studies, Sports/Kinesiology/Physical Education/Fitness (General), Chemistry (General), Clinical Psychology, Psychology (General), Social Work, Social Work (Other), Development Economics and International Development, Political Science and Government (General), Sociology (General), Directing and Theatrical Production, Visual and Performing Arts (General)"
